sensor_name,site,pearson_r,n_hours,n_detections,mean_rand,mean_nonrand,median_rand,median_nonrand,pct_zero_rand,pct_zero_nonrand,cv_rand,cv_nonrand
104_back,UNIST campus (2019),0.91,611,4542474,109.1,396.9,83,356,0,0,0.86,0.44
108_back,UNIST campus (2019),0.812,613,2340535,92.4,238.6,50,222,4.2,0,1.03,0.39
108_front_outside,UNIST campus (2019),0.875,592,9482212,152.8,621.3,85.5,549,0.3,0,1.04,0.38
112_side,UNIST campus (2019),0.829,617,2173931,52.8,122.6,36,113,5.7,0,0.91,0.47
202_back,UNIST campus (2019),0.824,469,2459554,54.8,250.7,44,224,1.7,0,0.85,0.53
202_back_further,UNIST campus (2019),0.836,615,3299841,53.1,274.1,37,230,1.5,0,0.99,0.49
202_front,UNIST campus (2019),0.835,596,7210632,205.3,425,199,416,0.5,0,0.71,0.45
203_front,UNIST campus (2019),0.756,606,5849854,250.5,473.2,205.5,456,0.5,0,0.97,0.5
PC_room_front,UNIST campus (2019),0.723,614,2070081,240.9,73,174.5,72,0.8,0,0.85,0.46
TMB_back,UNIST campus (2019),0.905,616,4058208,268.8,345.2,213,331.5,0,0,0.77,0.52
Whitehouse,UNIST campus (2019),0.377,534,2227296,159.6,89.5,24,73,21,0.2,1.69,0.63
bridge_main_engineer,UNIST campus (2019),0.929,612,4772645,183.6,549.6,137.5,484.5,1,0,0.97,0.48
btw_201_102,UNIST campus (2019),0.833,611,5765963,168.1,505.3,128,454,1,0,1.02,0.51
btw_TMB_library,UNIST campus (2019),0.712,610,3425974,109.8,343.1,88,317.5,0.8,0,0.97,0.45
bus_station,UNIST campus (2019),0.874,611,10243994,607.9,585.5,604,558,0,0,0.78,0.49
cafeteria_dorm_side,UNIST campus (2019),0.911,608,4506170,377.6,407.1,339,386.5,0,0,0.76,0.51
dorm_front,UNIST campus (2019),0.914,611,5006723,369.2,383.7,331,366,0.2,0,0.65,0.45
football_field_back,UNIST campus (2019),0.803,615,5946893,200.5,455.1,174,440,0.5,0,0.88,0.45
football_field_front,UNIST campus (2019),0.848,611,1926177,88.9,194.9,83,203,4.1,0,0.77,0.43
gym_front,UNIST campus (2019),0.81,576,8090738,320.2,451.4,294.5,445,0,0,0.77,0.45
lake,UNIST campus (2019),0.895,611,5833265,171.8,500.4,100,403,2,0,1.08,0.51
parking_dorm,UNIST campus (2019),0.906,617,3172176,361.4,334.6,319,324,0,0,0.7,0.46
parking_sport,UNIST campus (2019),0.83,613,1622930,176,151.4,163,150,0.5,0,0.68,0.44
tennis_court,UNIST campus (2019),0.526,590,1135832,65.1,123.8,50,117,5.9,0,0.98,0.41
u01,Commercial district (2020),0.84,198,2892625,2169.2,795.2,2072,946,0,0,0.58,0.5
u02,Commercial district (2020),0.504,218,2086210,1553.8,346.2,1142.5,378.5,0,0,0.89,0.44
u03,Commercial district (2020),0.956,170,524691,504.7,159.8,256.5,112.5,0,0,1.12,0.91
u04,Commercial district (2020),0.828,170,1229447,1775.5,226,1665.5,211,0,0,0.79,0.59
u05,Commercial district (2020),0.783,217,6161334,2778.6,778,2845,918,0,0,0.49,0.46
u06,Commercial district (2020),0.822,197,2961918,2582.2,364.6,2565,349,0,0,0.76,0.56
u07,Commercial district (2020),0.833,211,1992386,1447.3,324.3,1218,299,0,0,0.77,0.6
u08,Commercial district (2020),0.747,192,4491144,3080.3,983.3,3291,1188.5,0.5,0,0.42,0.48
u09,Commercial district (2020),0.757,172,2009906,2071.2,334.1,1776.5,314.5,0,0,0.78,0.63
u10,Commercial district (2020),0.745,221,4481513,2722,909.9,2733,1079,0,0,0.5,0.48
u11,Commercial district (2020),0.805,201,2908050,1955.5,435.7,1801,432,0,0,0.72,0.55
u12,Commercial district (2020),0.885,203,3020236,1441.4,460.3,1267,428,0,0,0.79,0.65
u13,Commercial district (2020),0.515,197,2060625,1797.7,285.2,1568,270,0,0,0.75,0.61
u14,Commercial district (2020),0.659,219,3133471,1244.9,553.5,1193,624,0,0,0.62,0.47
u15,Commercial district (2020),0.71,188,2003447,2163.3,254,1461.5,240,0,0,0.88,0.5
u16,Commercial district (2020),0.905,218,2336652,1299.8,366.3,1240.5,389.5,0,0,0.61,0.51
u17,Commercial district (2020),0.867,218,1982583,1197.4,288.1,955.5,300.5,0,0,0.79,0.54
