hour,n_total,n_stays,stay_rate
0,56973,9146,16.053218191072965
1,41371,7056,17.055425297914
2,33507,6039,18.023099650819233
3,26049,4962,19.048715881607738
4,21155,4290,20.278893878515717
5,19500,4137,21.215384615384618
6,23016,4591,19.946993395898506
7,35054,6418,18.308894847948878
8,88499,10473,11.834032022960711
9,116126,14661,12.625079654857654
10,131270,16611,12.65407176049364
11,143784,22673,15.768792077004395
12,186009,25220,13.558483729281917
13,133187,19998,15.014978939385976
14,146509,21001,14.334272979816939
15,136764,20863,15.254745400836478
16,122300,19384,15.849550286181522
17,157527,23636,15.00441194207977
18,155328,20595,13.259038936959207
19,109952,15345,13.95608993015134
20,100234,14455,14.421254265019853
21,91777,13083,14.255205552589429
22,85063,12051,14.167146703031872
23,71747,10673,14.875883312194238
