primary_sensor,n_segments,n_stays,stay_rate,avg_duration
104_back,132043,19461,14.73838067902123,47.43795282873439
108_back,47669,9937,20.845832721475173,51.02445406058166
108_front_outside,133856,20143,15.048260817595027,62.56813781462543
112_side,35140,4862,13.83608423449061,39.136157959687374
202_back,35134,6144,17.487334206182044,46.9970703125
202_back_further,71678,2831,3.9496079689723484,31.812080536912752
202_front,150107,31615,21.061642694877655,40.57599240866677
203_front,115460,16541,14.326173566603154,29.936521371138383
206_front,39989,4686,11.718222511190577,65.2752880921895
PC_room_front,12155,3043,25.034965034965033,81.14032205060795
TMB_back,52486,12864,24.509392980985407,23.608519900497512
Whitehouse,22221,1923,8.653975968678278,55.34061362454498
bridge_main_engineer,121399,19733,16.254664371205692,32.2216591496478
btw_201_102,55601,10708,19.25864642722253,39.815091520358614
btw_TMB_library,103064,9574,9.289373593107197,41.46751618968038
bus_station,145963,20030,13.722655741523537,38.20569146280579
cafeteria_dorm_side,183225,17999,9.823441124300723,29.84388021556753
dorm_front,46268,11988,25.909916140745224,49.02402402402402
football_field_back,57210,6098,10.65897570354833,31.88422433584782
football_field_front,244801,13234,5.40602366820397,23.523500075562943
gym_front,135606,29735,21.92749583351769,22.26904321506642
lake,131843,27701,21.010595936075482,23.14248583083643
parking_dorm,118914,21437,18.027313857073178,28.981200727713766
parking_sport,29153,3259,11.178952423421261,47.32126419146977
tennis_court,11716,1815,15.491635370433595,30.754820936639117
