sensor_name,n_visits,n_engaged,engagement_ratio,sensor_type
104_back,96407,57453,59.594220336697546,Destination
108_back,42009,21952,52.25546906615249,Destination
108_front_outside,118097,77901,65.96357231767107,Destination
112_side,30725,18663,60.74206672091131,Destination
202_back,40668,33177,81.58011212747122,Destination
202_back_further,55090,44627,81.00744236703576,Destination
202_front,102038,81107,79.48705384268607,Destination
203_front,125453,103052,82.1439104684623,Destination
206_front,48344,35530,73.49412543438689,Destination
PC_room_front,22799,17146,75.20505285319533,Destination
TMB_back,122954,94827,77.12396506010379,Destination
Whitehouse,16381,12877,78.60936450766131,Destination
bridge_main_engineer,140108,111265,79.41373797356324,Destination
btw_201_102,133591,104062,77.895966045616845,Destination
btw_TMB_library,98450,81213,82.49162011173185,Destination
bus_station,166658,103089,61.856616544060294,Destination
cafeteria_dorm_side,138387,105271,76.07000657576218,Destination
dorm_front,135664,95892,70.68345323741008,Destination
football_field_back,47864,35349,73.85300016714022,Destination
football_field_front,120869,98446,81.44851037073195,Destination
gym_front,126073,94931,75.29843820643596,Destination
lake,125052,97900,78.28743242810991,Destination
parking_dorm,126732,88025,69.4575955559764,Destination
parking_sport,45121,33839,74.99612153985949,Destination
tennis_court,28555,23792,83.31990894764489,Destination
