sensor_a,sensor_b,distance_m
bus_station,Whitehouse,374.2236982381188
bus_station,PC_room_front,291.494524061229
bus_station,parking_sport,254.1769716781979
bus_station,football_field_front,144.18245291571546
bus_station,TMB_back,400.7868847830334
bus_station,gym_front,348.4212337200759
bus_station,lake,218.8905243738931
bus_station,tennis_court,334.1873256959278
bus_station,football_field_back,280.31100034567635
bus_station,dorm_front,478.5740101594589
bus_station,cafeteria_dorm_side,408.15882571418814
bus_station,parking_dorm,545.3673579245451
108_front_outside,bus_station,326.79909033008295
108_front_outside,206_front,112.92697311091426
108_front_outside,112_side,174.89018528396252
108_front_outside,Whitehouse,575.4552214603125
108_front_outside,PC_room_front,517.1933754979556
108_front_outside,parking_sport,422.9204297319601
108_front_outside,football_field_front,369.93265030941507
108_front_outside,btw_TMB_library,295.5367801000825
108_front_outside,TMB_back,405.1053906676101
108_front_outside,gym_front,412.5405460920018
108_front_outside,203_front,258.0236785126373
108_front_outside,bridge_main_engineer,196.72841427014052
108_front_outside,lake,117.00085243118832
108_front_outside,202_back_further,155.84790699631526
108_front_outside,tennis_court,489.751332250554
108_front_outside,football_field_back,335.3046532109382
108_front_outside,btw_201_102,213.52542646005963
108_front_outside,202_front,199.22642001643842
108_front_outside,dorm_front,492.73196262603017
108_front_outside,cafeteria_dorm_side,466.74282502288895
108_front_outside,202_back,208.13367717018016
108_front_outside,parking_dorm,517.3722176326779
206_front,bus_station,425.1865032388558
206_front,Whitehouse,620.4886278395284
206_front,PC_room_front,573.9802828145154
206_front,parking_sport,472.193014783543
206_front,football_field_front,442.03901749735695
206_front,btw_TMB_library,283.3036653809492
206_front,TMB_back,402.5357258893533
206_front,gym_front,430.18583917311895
206_front,bridge_main_engineer,256.2079458558176
206_front,lake,206.39022240533833
206_front,tennis_court,527.287418691791
206_front,football_field_back,364.7998745000613
206_front,btw_201_102,304.97343914208574
206_front,dorm_front,482.1616671418316
206_front,cafeteria_dorm_side,474.9430406674546
206_front,parking_dorm,488.86531555591097
112_side,bus_station,501.3212806052039
112_side,206_front,94.36259380394695
112_side,Whitehouse,714.6888461140885
