event_type,hour,n,pct
Campus Member,0,1182,3.1900250991822525
Campus Member,1,986,2.6610530861198822
Campus Member,2,809,2.183358972282946
Campus Member,3,677,1.827112514506248
Campus Member,4,538,1.451974199120179
Campus Member,5,511,1.3791056054840365
Campus Member,6,602,1.624699754405851
Campus Member,7,1007,2.7177286589479936
Campus Member,8,1517,4.094135427630691
Campus Member,9,1965,5.303214314630394
Campus Member,10,1910,5.15477829055677
Campus Member,11,2242,6.050792108601192
Campus Member,12,2424,6.541980406444822
Campus Member,13,2343,6.323374625536394
Campus Member,14,2180,5.883464226918198
Campus Member,15,2120,5.721534018837881
Campus Member,16,2088,5.635171241195045
Campus Member,17,2404,6.488003670418049
Campus Member,18,2451,6.614849000080965
Campus Member,19,1707,4.60691441988503
Campus Member,20,1583,4.27225865651904
Campus Member,21,1370,3.6974064178339137
Campus Member,22,1291,3.4841983105281624
Campus Member,23,1146,3.092866974334062
Interview Outsider,0,17,0.17741598831141725
Interview Outsider,1,13,0.13567104988520143
Interview Outsider,2,9,0.09392611145898559
Interview Outsider,3,8,0.08348987685243164
Interview Outsider,4,8,0.08348987685243164
Interview Outsider,5,4,0.04174493842621582
Interview Outsider,6,18,0.18785222291797118
Interview Outsider,7,489,5.103318722604884
Interview Outsider,8,1028,10.728449175537467
Interview Outsider,9,626,6.533082863702775
Interview Outsider,10,915,9.549154664996868
Interview Outsider,11,1083,11.302442078897935
Interview Outsider,12,1291,13.473178877061157
Interview Outsider,13,1167,12.179085785848466
Interview Outsider,14,777,8.108954289292424
Interview Outsider,15,858,8.954289292423294
Interview Outsider,16,612,6.386975579211021
Interview Outsider,17,320,3.3395950740972657
Interview Outsider,18,147,1.5341264871634315
Interview Outsider,19,67,0.6992277186391149
Interview Outsider,20,41,0.4278856188687122
Interview Outsider,21,30,0.31308703819661865
Interview Outsider,22,36,0.37570444583594237
Interview Outsider,23,18,0.18785222291797118
