method,time_sampling,median_error,mean_error,q25,q75,n
Centroid,1,40.5975998328409,49.0872151829369,23.6364716300385,63.9334708769664,306184
Centroid,5,39.9410876042426,47.6401494159521,23.3957386111423,62.1322495777133,140405
Centroid,10,39.9640495228647,47.0891796718262,23.4460231593578,61.39066282622,96349
Centroid,20,40.2917003573726,46.8634198973585,24.044567182608,61.2084587755515,63296
Centroid,30,40.9858227609596,47.3186535949342,24.5694609326501,61.9499339150177,48827
Centroid,40,41.507072801893,47.7547113355697,25.2125760845841,62.5819696820542,40327
Centroid,50,42.534782138849,48.6208061143227,26.1481275407983,63.806366833586,34715
Centroid,60,43.2143150375937,49.3785254391646,26.6145205489439,64.6312805041371,30834
Centroid,70,44.2725429128203,50.2991678541709,27.4637838166731,65.9001368573077,27834
Centroid,80,45.1524291872354,51.1972559691114,27.9575090143755,66.7721961778796,25458
Centroid,90,46.2523716167433,52.0668630325948,28.4488606864323,68.1001631854071,23570
Centroid,100,47.0504308469086,52.8686629239422,29.1468098157933,69.1901753049783,21928
Centroid,110,47.4264686134724,53.6522004202257,29.6987583444706,70.2207748572684,20642
Centroid,120,49.1046325838355,55.1171346740471,30.7661608942307,71.8688637633215,19510
Proximity,1,37.5128821366843,47.7826512016202,20.1651592331536,63.5136016773139,306184
Proximity,5,36.7745331318123,46.4505065265743,19.9445761970747,61.3768862436908,140405
Proximity,10,36.2145534814109,45.3228155945116,19.8038728053889,59.5811671369533,96349
Proximity,20,35.878933133564,44.3183075542685,19.8795424274058,58.1577313310411,63296
Proximity,30,35.9069184971362,43.9838479179386,20.1159153368233,57.6158085894653,48827
Proximity,40,35.9933997951007,44.0940422027735,20.4925888735485,57.6954758610756,40327
Proximity,50,36.5377542075303,44.3063521166506,20.8781840534622,58.0792845690299,34715
Proximity,60,37.1194870031739,44.9422893022425,21.4432574737455,58.6793836881588,30834
Proximity,70,37.986974079675,45.7045383862746,21.628284431,59.555118324223,27834
Proximity,80,38.8409735824297,46.380705984162,22.0878120629327,60.2753742271151,25458
Proximity,90,40.1067499898235,47.1900762959477,22.7190951682765,61.6451143652493,23570
Proximity,100,40.8224935175324,48.3226544675046,23.2465098128464,63.0674805346864,21928
Proximity,110,41.6369451094779,49.2457276637029,23.5393675321589,64.3034035355083,20642
Proximity,120,43.1405414704396,50.8245982128075,24.4356484795262,66.109015648,19510
Wcentroid,1,38.3750595169647,47.2829288702824,22.5448008916229,61.1511222504957,306184
Wcentroid,5,35.8461926960465,44.1086489531839,21.0793070810516,56.7969867830839,140405
Wcentroid,10,34.9003132869357,42.6590672704328,20.6379308541549,54.9293711447269,96349
Wcentroid,20,34.0367852489564,41.1961876059236,20.3111520746402,53.2241685409337,63296
Wcentroid,30,33.761771144231,40.7599896251115,20.2274109976401,52.7315375841979,48827
Wcentroid,40,33.8303312871327,40.5250172392419,20.3713196468417,52.5097362736918,40327
Wcentroid,50,34.1807964644108,40.7651096798788,20.7394839127122,52.8100923338668,34715
Wcentroid,60,34.4918393295825,41.1773609100194,21.0174264846471,53.3545578342668,30834
Wcentroid,70,35.0351062549736,41.6899590518621,21.1850735825784,54.0030606590157,27834
Wcentroid,80,35.7945544679965,42.2484209656388,21.7341996948693,54.6981691947541,25458
Wcentroid,90,36.5329720656418,43.0321214663893,22.124272925107,56.2816623482737,23570
Wcentroid,100,37.2483018812535,43.7073041051314,22.4718279499526,57.0257477140383,21928
Wcentroid,110,37.6514599961878,44.494315010411,22.8374889947136,58.20737148502,20642
Wcentroid,120,38.5845583539001,45.7137460954528,23.6791007920948,59.7031001980079,19510
