day_type,origin,destination,n_trips
Weekday,btw_201_102,bus_station,8891
Weekday,104_back,bus_station,8629
Weekday,dorm_front,parking_dorm,4183
Weekday,bridge_main_engineer,bus_station,3793
Weekday,football_field_front,bus_station,3157
Weekday,lake,108_front_outside,3042
Weekday,bus_station,104_back,3033
Weekday,cafeteria_dorm_side,gym_front,2821
Weekday,bridge_main_engineer,lake,2666
Weekday,203_front,football_field_back,2663
Weekday,bus_station,btw_201_102,2575
Weekday,108_back,bus_station,2378
Weekend,btw_201_102,bus_station,1906
Weekend,104_back,bus_station,1294
Weekend,dorm_front,parking_dorm,1083
Weekend,parking_dorm,bus_station,764
Weekend,dorm_front,bus_station,752
Weekend,lake,108_front_outside,735
Weekend,bridge_main_engineer,bus_station,732
Weekend,football_field_front,bus_station,659
Weekend,cafeteria_dorm_side,gym_front,592
Weekend,cafeteria_dorm_side,parking_dorm,529
Weekend,cafeteria_dorm_side,dorm_front,490
Weekend,cafeteria_dorm_side,bus_station,484
Weekend,108_front_outside,lake,482
Weekend,bus_station,parking_dorm,482
