year,year_text,channel,id_last,id_sensor,sensor_id,street_type,x,y
2020,2020,2.4G,U-01,u01,U-01,Regular,129.260577949299,35.544338559765
2020,2020,2.4G,U-02,u02,U-02,Pedestrian,129.261108712484,35.5441578073722
2020,2020,2.4G,U-03,u03,U-03,Pedestrian,129.260271667378,35.5437355674941
2020,2020,2.4G,U-05,u04,U-05,Pedestrian,129.260873770006,35.5436147899184
2019,2019 + 2020,2.4G,U-06,u05,U-06,Regular,129.26010431536,35.543309524628
2019,2019 + 2020,2.4G,U-07,u06,U-07,Pedestrian,129.260602571402,35.5431162458963
2020,2020,2.4G,U-09,u07,U-09,Regular,129.261614336132,35.5428914338757
2020,2020,2.4G,U-11,u08,U-11,Regular,129.259448019488,35.5428357159089
2020,2020,2.4G,U-10,u09,U-10,Pedestrian,129.260430232316,35.5427034351855
2019,2019 + 2020,2.4G,U-12,u10,U-12,Regular,129.259722277812,35.5424889812399
2019,2019 + 2020,2.4G,U-13,u11,U-13,Pedestrian,129.260257526478,35.5422774928515
2019,2019 + 2020,2.4G,U-15,u12,U-15,Regular,129.261395722122,35.5419758621034
2019,2019 + 2020,2.4G,U-16,u13,U-16,Pedestrian,129.26006789631,35.5418212117572
2019,2019 + 2020,2.4G,U-17,u16,U-17,Regular,129.261069567691,35.5412374830781
2019,2019 + 2020,2.4G,U-18,u14,U-18,Regular,129.259192753438,35.5417587889135
2019,2019 + 2020,2.4G,U-19,u15,U-19,Pedestrian,129.25978992953,35.5414629332961
2019,2019 + 2020,2.4G,U-20,u17,U-20,Regular,129.260742417481,35.540845094247
